repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,bandwidth,dataSize,tasks
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,76.00138705025086,885.4437155380584,192
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,77.51961164889529,885.4437155380584,192
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,77.33584382763986,885.4437155380584,192
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,76.93881060891012,885.4437155380584,192
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,76.44386624978918,885.4437155380584,192
0,8,24,1024,4096,True,vast,False,10,1,write,4096,False,False,75.72167945373484,885.4437155380584,192
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5438571657304909,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5449836534755147,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5404447807388247,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5436960244288366,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5510529918078141,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5535694775579234,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5587818452263429,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5566895843038626,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5641011415710264,1.7293822569102704,96
0,4,24,4,4096,True,vast,False,10,1,write,4096,False,False,0.5598599637579937,1.7293822569102704,96
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,4.867182617376806,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.153037792582196,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.105608664263053,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.143041116147833,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.1939541690404605,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.031097396321377,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,4.857646964048705,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,4.821582663095797,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,5.180185989657856,0.4323455642275676,24
0,1,24,4,4096,False,vast,False,10,1,write,4096,False,False,4.8459448115038155,0.4323455642275676,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.248564135865724,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.060922900506093,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.13409020452574,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.11376220358382,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.15979374921607,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.347592124002254,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.535846675947543,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.486666813615507,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,23.257933601360303,442.7218577690292,24
0,1,24,4096,4096,True,vast,False,10,1,write,4096,False,False,22.966983235712057,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,20.169463774700866,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,20.403364323059357,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,20.29520717992802,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,18.908463329299348,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,19.113812746464482,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,18.271479349997385,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,19.50012573115311,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,20.2482665155261,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,18.309578259243324,442.7218577690292,24
0,1,24,4096,4096,False,vast,False,10,1,write,4096,False,False,18.903033802065256,442.7218577690292,24
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,103.72082164385104,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,106.13868074953676,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,106.49699946927801,3541.7748621522337,192
0,8,24,4096,4096,True,vast,False,10,1,write,4096,False,False,105.62498538244984,3541.7748621522337,192
