repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,maxRandomStride,bandwidth,dataSize,tasks
0,2,288,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.18220998671954894,10.376293541461623,576
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.31183127408391703,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.30633392890874694,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.2794003125177844,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.2795032755119785,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.39160023332083177,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.393735575041281,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.33125445100143597,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.312149644904184,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.30942465721813245,2.305843009213694,128
0,8,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.39874974997550905,2.305843009213694,128
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.2778549574516725,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.31550055439836294,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.2930710625649508,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.3102039733929545,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.2970434952116467,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.2942468112980436,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.30936978856327624,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.2771820560765018,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.27385405390173995,0.28823037615171176,16
0,1,16,4,4096,False,vast,False,10,1,write,4096,False,True,1024,0.277872803912332,0.28823037615171176,16
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.2466304238177391,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.28924476214342876,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.24147428769492732,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.36461703860792727,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.2965647539983647,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.14382468205720927,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.30029955768306704,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.3027761520043261,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.28595059613519663,0.5764607523034235,32
0,2,16,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.27148421847958093,0.5764607523034235,32
0,4,12,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.4069502633949772,0.8646911284551352,48
0,4,12,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.41227325216986677,0.8646911284551352,48
0,4,12,4,4096,False,lustre,False,10,1,write,4096,False,True,1024,0.4313882116081409,0.8646911284551352,48
