repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,bandwidth,dataSize
0,1,1,32,64,False,lustre,False,10,2.28511156195404,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.365183789841996,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.3582264743417993,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.3226539189481437,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.3719906722831055,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.358533514789888,2.305843009213694
0,1,1,32,64,False,lustre,False,10,1.8119899352933442,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.3597254279723234,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.2925542943574624,2.305843009213694
0,1,1,32,64,False,lustre,False,10,2.1200003534970375,2.305843009213694
0,1,8,32,64,False,lustre,False,10,9.766806589229907,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.353254042571942,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.381148652728422,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.602651423365636,18.446744073709553
0,1,8,32,64,False,lustre,False,10,8.22616734357196,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.889686524851765,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.429138953213082,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.764318444780647,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.310034325729498,18.446744073709553
0,1,8,32,64,False,lustre,False,10,9.883797962765424,18.446744073709553
0,1,2,32,64,False,lustre,False,10,3.90342506763792,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.988145955122691,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.5473561018345245,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.9386614694449875,4.611686018427388
0,1,2,32,64,False,lustre,False,10,4.154776422774858,4.611686018427388
0,1,2,32,64,False,lustre,False,10,4.006451538692858,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.8610607901832665,4.611686018427388
0,1,2,32,64,False,lustre,False,10,4.100082283312212,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.8958510675282714,4.611686018427388
0,1,2,32,64,False,lustre,False,10,3.701726956943928,4.611686018427388
0,1,288,32,64,False,lustre,False,10,1.9775930915108975,664.0827866535438
